Wavelength [nm], absorption
506.62566, 0.84825952
506.65067, 0.84935206
506.67567, 0.85039387
506.70067, 0.85137739
506.72567, 0.85229564
506.75068, 0.85314225
506.77568, 0.85391149
506.80068, 0.85459830
506.82568, 0.85519828
506.85069, 0.85570771
506.87569, 0.85612353
506.90069, 0.85644337
506.92569, 0.85666554
506.95070, 0.85678901
506.97570, 0.85681342
507.00070, 0.85673907
507.02570, 0.85656693
507.05071, 0.85629862
507.07571, 0.85593637
507.10071, 0.85548308
507.12571, 0.85494226
507.15072, 0.85431803
507.17572, 0.85361509
507.20072, 0.85283873
507.22572, 0.85199478
507.25073, 0.85108956
507.27573, 0.85012989
507.30073, 0.84912300
507.32573, 0.84807651
507.35074, 0.84699835
507.37574, 0.84589669
507.40074, 0.84477989
507.42574, 0.84365640
507.45075, 0.84253467
507.47575, 0.84142306
507.50075, 0.84032977
507.52575, 0.83926272
507.55076, 0.83822948
507.57576, 0.83723714
507.60076, 0.83629227
507.62576, 0.83540082
507.65077, 0.83456802
507.67577, 0.83379840
507.70077, 0.83309565
507.72577, 0.83246267
507.75078, 0.83190148
507.77578, 0.83141325
507.80078, 0.83099833
507.82578, 0.83065624
507.85079, 0.83038570
507.87579, 0.83018474
507.90079, 0.83005068
507.92579, 0.82998027
507.95080, 0.82996975
507.97580, 0.83001491
508.00080, 0.83011120
508.02580, 0.83025382
508.05081, 0.83043780
508.07581, 0.83065809
508.10081, 0.83090967
508.12581, 0.83118758
508.15082, 0.83148703
508.17582, 0.83180345
508.20082, 0.83213256
508.22582, 0.83247040
508.25083, 0.83281339
508.27583, 0.83315834
508.30083, 0.83350251
508.32583, 0.83384359
508.35084, 0.83417971
508.37584, 0.83450945
508.40084, 0.83483182
508.42584, 0.83514626
508.45085, 0.83545260
508.47585, 0.83575104
508.50085, 0.83604209
508.52585, 0.83632660
508.55086, 0.83660562
508.57586, 0.83688044
508.60086, 0.83715250
508.62586, 0.83742334
508.65087, 0.83769458
508.67587, 0.83796783
508.70087, 0.83824466
508.72587, 0.83852657
508.75088, 0.83881491
508.77588, 0.83911086
508.80088, 0.83941539
508.82588, 0.83972924
508.85089, 0.84005284
508.87589, 0.84038635
508.90089, 0.84072959
508.92589, 0.84108209
508.95090, 0.84144301
508.97590, 0.84181118
509.00090, 0.84218513
509.02590, 0.84256303
509.05091, 0.84294280
509.07591, 0.84332205
509.10091, 0.84369813
509.12591, 0.84406819
509.15092, 0.84442918
509.17592, 0.84477789
509.20092, 0.84511099
509.22592, 0.84542506
509.25093, 0.84571666
509.27593, 0.84598231
509.30093, 0.84621859
509.32593, 0.84642214
509.35094, 0.84658969
509.37594, 0.84671813
509.40094, 0.84680451
509.42594, 0.84684608
509.45095, 0.84684034
509.47595, 0.84678503
509.50095, 0.84667818
509.52595, 0.84651814
509.55096, 0.84630357
509.57596, 0.84603350
509.60096, 0.84570731
509.62596, 0.84532477
509.65097, 0.84488605
509.67597, 0.84439175
509.70097, 0.84384284
509.72597, 0.84324078
509.75098, 0.84258743
509.77598, 0.84188508
509.80098, 0.84113650
509.82598, 0.84034487
509.85099, 0.83951381
509.87599, 0.83864737
509.90099, 0.83775000
509.92599, 0.83682656
509.95100, 0.83588228
509.97600, 0.83492273
510.00100, 0.83395382
510.02600, 0.83298171
510.05101, 0.83201282
510.07601, 0.83105376
510.10101, 0.83011128
510.12601, 0.82919221
510.15102, 0.82830340
510.17602, 0.82745169
510.20102, 0.82664377
510.22602, 0.82588619
510.25103, 0.82518524
510.27603, 0.82454688
510.30103, 0.82397671
510.32603, 0.82347984
510.35104, 0.82306090
510.37604, 0.82272390
510.40104, 0.82247226
510.42604, 0.82230868
510.45105, 0.82223516
510.47605, 0.82225294
510.50105, 0.82236250
510.52605, 0.82256351
510.55106, 0.82285487
510.57606, 0.82323469
510.60106, 0.82370033
510.62606, 0.82424840
510.65107, 0.82487482
510.67607, 0.82557487
510.70107, 0.82634320
510.72607, 0.82717394
510.75108, 0.82806073
510.77608, 0.82899682
510.80108, 0.82997509
510.82608, 0.83098818
510.85109, 0.83202852
510.87609, 0.83308842
510.90109, 0.83416015
510.92609, 0.83523597
510.95110, 0.83630823
510.97610, 0.83736942
511.00110, 0.83841222
511.02610, 0.83942955
511.05111, 0.84041462
511.07611, 0.84136096
511.10111, 0.84226248
511.12611, 0.84311345
511.15112, 0.84390857
511.17612, 0.84464299
511.20112, 0.84531228
511.22612, 0.84591250
511.25113, 0.84644018
511.27613, 0.84689232
511.30113, 0.84726641
511.32613, 0.84756045
511.35114, 0.84777290
511.37614, 0.84790274
511.40114, 0.84794942
511.42614, 0.84791290
511.45115, 0.84779362
511.47615, 0.84759252
511.50115, 0.84731099
511.52615, 0.84695094
511.55116, 0.84651473
511.57616, 0.84600521
511.60116, 0.84542566
511.62616, 0.84477984
511.65117, 0.84407193
511.67617, 0.84330654
511.70117, 0.84248867
511.72617, 0.84162371
511.75118, 0.84071741
511.77618, 0.83977583
511.80118, 0.83880532
511.82618, 0.83781250
511.85119, 0.83680416
511.87619, 0.83578729
511.90119, 0.83476895
511.92619, 0.83375628
511.95120, 0.83275638
511.97620, 0.83177633
512.00120, 0.83082303
512.02620, 0.82990323
512.05121, 0.82902339
512.07621, 0.82818967
512.10121, 0.82740785
512.12621, 0.82668329
512.15122, 0.82602084
512.17622, 0.82542483
512.20122, 0.82489901
512.22622, 0.82444652
512.25123, 0.82406988
512.27623, 0.82377093
512.30123, 0.82355084
512.32623, 0.82341013
512.35124, 0.82334861
512.37624, 0.82336548
512.40124, 0.82345927
512.42624, 0.82362789
512.45125, 0.82386870
512.47625, 0.82417848
512.50125, 0.82455355
512.52625, 0.82498974
512.55126, 0.82548250
512.57626, 0.82602692
512.60126, 0.82661781
512.62626, 0.82724971
512.65127, 0.82791700
512.67627, 0.82861390
512.70127, 0.82933457
512.72627, 0.83007312
512.75128, 0.83082369
512.77628, 0.83158045
512.80128, 0.83233770
512.82628, 0.83308985
512.85129, 0.83383150
512.87629, 0.83455745
512.90129, 0.83526271
512.92629, 0.83594256
512.95130, 0.83659255
512.97630, 0.83720851
513.00130, 0.83778659
513.02630, 0.83832326
513.05131, 0.83881531
513.07631, 0.83925986
513.10131, 0.83965439
513.12631, 0.83999674
513.15132, 0.84028508
513.17632, 0.84051794
513.20132, 0.84069423
513.22632, 0.84081321
513.25133, 0.84087450
513.27633, 0.84087809
513.30133, 0.84082432
513.32633, 0.84071392
513.35134, 0.84054796
513.37634, 0.84032787
513.40134, 0.84005546
513.42634, 0.83973286
513.45135, 0.83936258
513.47635, 0.83894745
513.50135, 0.83849064
513.52635, 0.83799566
513.55136, 0.83746629
513.57636, 0.83690664
513.60136, 0.83632108
513.62636, 0.83571423
513.65137, 0.83509094
513.67637, 0.83445625
513.70137, 0.83381537
513.72637, 0.83317363
513.75138, 0.83253647
513.77638, 0.83190934
513.80138, 0.83129770
513.82638, 0.83070696
513.85139, 0.83014242
513.87639, 0.82960921
513.90139, 0.82911226
513.92639, 0.82865623
513.95140, 0.82824543
513.97640, 0.82788383
514.00140, 0.82757495
514.02640, 0.82732183
514.05141, 0.82712701
514.07641, 0.82699248
514.10141, 0.82691964
514.12641, 0.82690928
514.15142, 0.82696159
514.17642, 0.82707610
514.20142, 0.82725175
514.22642, 0.82748682
514.25143, 0.82777903
514.27643, 0.82812548
514.30143, 0.82852276
514.32643, 0.82896693
514.35144, 0.82945359
514.37644, 0.82997796
514.40144, 0.83053485
514.42644, 0.83111882
514.45145, 0.83172417
514.47645, 0.83234501
514.50145, 0.83297535
514.52645, 0.83360915
514.55146, 0.83424035
514.57646, 0.83486296
514.60146, 0.83547111
514.62646, 0.83605908
514.65147, 0.83662138
514.67647, 0.83715275
514.70147, 0.83764823
514.72647, 0.83810320
514.75148, 0.83851337
514.77648, 0.83887485
514.80148, 0.83918416
514.82648, 0.83943823
514.85149, 0.83963443
514.87649, 0.83977061
514.90149, 0.83984505
514.92649, 0.83985651
514.95150, 0.83980425
514.97650, 0.83968797
515.00150, 0.83950790
515.02650, 0.83926471
515.05151, 0.83895958
515.07651, 0.83859414
515.10151, 0.83817052
515.12651, 0.83769129
515.15152, 0.83715949
515.17652, 0.83657859
515.20152, 0.83595250
515.22652, 0.83528552
515.25153, 0.83458235
515.27653, 0.83384805
515.30153, 0.83308803
515.32653, 0.83230797
515.35154, 0.83151383
515.37654, 0.83071181
515.40154, 0.82990828
515.42654, 0.82910972
515.45155, 0.82832272
515.47655, 0.82755388
515.50155, 0.82680975
515.52655, 0.82609679
515.55156, 0.82542130
515.57656, 0.82478934
515.60156, 0.82420669
515.62656, 0.82367876
515.65157, 0.82321053
515.67657, 0.82280653
515.70157, 0.82247072
515.72657, 0.82220649
515.75158, 0.82201660
515.77658, 0.82190314
515.80158, 0.82186749
515.82658, 0.82191033
515.85159, 0.82203159
515.87659, 0.82223049
515.90159, 0.82250550
515.92659, 0.82285439
515.95160, 0.82327426
515.97660, 0.82376153
516.00160, 0.82431203
516.02660, 0.82492105
516.05161, 0.82558334
516.07661, 0.82629323
516.10161, 0.82704467
516.12661, 0.82783130
516.15162, 0.82864653
516.17662, 0.82948357
516.20162, 0.83033557
516.22662, 0.83119561
516.25163, 0.83205682
516.27663, 0.83291243
516.30163, 0.83375579
516.32663, 0.83458050
516.35164, 0.83538036
516.37664, 0.83614950
516.40164, 0.83688238
516.42664, 0.83757381
516.45165, 0.83821901
516.47665, 0.83881361
516.50165, 0.83935368
516.52665, 0.83983573
516.55166, 0.84025675
516.57666, 0.84061417
516.60166, 0.84090591
516.62666, 0.84113036
516.65167, 0.84128638
516.67667, 0.84137330
516.70167, 0.84139090
516.72667, 0.84133942
516.75168, 0.84121956
516.77668, 0.84103244
516.80168, 0.84077960
516.82668, 0.84046300
516.85169, 0.84008500
516.87669, 0.83964832
516.90169, 0.83915608
516.92669, 0.83861169
516.95170, 0.83801894
516.97670, 0.83738187
517.00170, 0.83670482
517.02670, 0.83599238
517.05171, 0.83524936
517.07671, 0.83448073
517.10171, 0.83369167
517.12671, 0.83288744
517.15172, 0.83207341
517.17672, 0.83125499
517.20172, 0.83043760
517.22672, 0.82962664
517.25173, 0.82882746
517.27673, 0.82804526
517.30173, 0.82728515
517.32673, 0.82655200
517.35174, 0.82585051
517.37674, 0.82518507
517.40174, 0.82455981
517.42674, 0.82397853
517.45175, 0.82344466
517.47675, 0.82296126
517.50175, 0.82253098
517.52675, 0.82215606
517.55176, 0.82183827
517.57676, 0.82157897
