wavelength [nm], relative absorbance
503.97540, 0.94932024
503.99040, 0.94941411
504.00540, 0.94951918
504.02040, 0.94963497
504.03540, 0.94976100
504.05041, 0.94989676
504.06541, 0.95004174
504.08041, 0.95019542
504.09541, 0.95035726
504.11041, 0.95052673
504.12541, 0.95070328
504.14041, 0.95088636
504.15542, 0.95107542
504.17042, 0.95126988
504.18542, 0.95146919
504.20042, 0.95167277
504.21542, 0.95188007
504.23042, 0.95209050
504.24542, 0.95230349
504.26043, 0.95251847
504.27543, 0.95273488
504.29043, 0.95295214
504.30543, 0.95316968
504.32043, 0.95338693
504.33543, 0.95360335
504.35044, 0.95381836
504.36544, 0.95403141
504.38044, 0.95424196
504.39544, 0.95444945
504.41044, 0.95465335
504.42544, 0.95485312
504.44044, 0.95504823
504.45545, 0.95523817
504.47045, 0.95542242
504.48545, 0.95560047
504.50045, 0.95577183
504.51545, 0.95593600
504.53045, 0.95609250
504.54545, 0.95624086
504.56046, 0.95638061
504.57546, 0.95651130
504.59046, 0.95663249
504.60546, 0.95674374
504.62046, 0.95684463
504.63546, 0.95693475
504.65047, 0.95701369
504.66547, 0.95708107
504.68047, 0.95713652
504.69547, 0.95717968
504.71047, 0.95721019
504.72547, 0.95722772
504.74047, 0.95723195
504.75548, 0.95722258
504.77048, 0.95719932
504.78548, 0.95716189
504.80048, 0.95711005
504.81548, 0.95704355
504.83048, 0.95696217
504.84548, 0.95686571
504.86049, 0.95675399
504.87549, 0.95662685
504.89049, 0.95648413
504.90549, 0.95632573
504.92049, 0.95615154
504.93549, 0.95596149
504.95050, 0.95575552
504.96550, 0.95553359
504.98050, 0.95529571
504.99550, 0.95504188
505.01050, 0.95477216
505.02550, 0.95448661
505.04050, 0.95418532
505.05551, 0.95386841
505.07051, 0.95353604
505.08551, 0.95318837
505.10051, 0.95282562
505.11551, 0.95244801
505.13051, 0.95205580
505.14551, 0.95164928
505.16052, 0.95122877
505.17552, 0.95079461
505.19052, 0.95034718
505.20552, 0.94988687
505.22052, 0.94941413
505.23552, 0.94892941
505.25053, 0.94843320
505.26553, 0.94792602
505.28053, 0.94740841
505.29553, 0.94688095
505.31053, 0.94634423
505.32553, 0.94579888
505.34053, 0.94524554
505.35554, 0.94468489
505.37054, 0.94411764
505.38554, 0.94354449
505.40054, 0.94296620
505.41554, 0.94238352
505.43054, 0.94179724
505.44554, 0.94120816
505.46055, 0.94061709
505.47555, 0.94002487
505.49055, 0.93943235
505.50555, 0.93884038
505.52055, 0.93824983
505.53555, 0.93766159
505.55056, 0.93707653
505.56556, 0.93649555
505.58056, 0.93591954
505.59556, 0.93534941
505.61056, 0.93478603
505.62556, 0.93423031
505.64056, 0.93368313
505.65557, 0.93314538
505.67057, 0.93261793
505.68557, 0.93210164
505.70057, 0.93159736
505.71557, 0.93110592
505.73057, 0.93062814
505.74557, 0.93016483
505.76058, 0.92971674
505.77558, 0.92928464
505.79058, 0.92886925
505.80558, 0.92847128
505.82058, 0.92809138
505.83558, 0.92773020
505.85059, 0.92738834
505.86559, 0.92706637
505.88059, 0.92676483
505.89559, 0.92648419
