wavelength [nm], relative absorbance
503.97540, 0.57160419
503.99040, 0.57152971
504.00540, 0.57145446
504.02040, 0.57137842
504.03540, 0.57130155
504.05041, 0.57122385
504.06541, 0.57114530
504.08041, 0.57106589
504.09541, 0.57098563
504.11041, 0.57090452
504.12541, 0.57082257
504.14041, 0.57073982
504.15542, 0.57065627
504.17042, 0.57057196
504.18542, 0.57048694
504.20042, 0.57040123
504.21542, 0.57031490
504.23042, 0.57022800
504.24542, 0.57014058
504.26043, 0.57005271
504.27543, 0.56996446
504.29043, 0.56987591
504.30543, 0.56978712
504.32043, 0.56969818
504.33543, 0.56960917
504.35044, 0.56952018
504.36544, 0.56943129
504.38044, 0.56934260
504.39544, 0.56925419
504.41044, 0.56916615
504.42544, 0.56907858
504.44044, 0.56899156
504.45545, 0.56890518
504.47045, 0.56881954
504.48545, 0.56873471
504.50045, 0.56865078
504.51545, 0.56856783
504.53045, 0.56848593
504.54545, 0.56840516
504.56046, 0.56832559
504.57546, 0.56824728
504.59046, 0.56817029
504.60546, 0.56809466
504.62046, 0.56802046
504.63546, 0.56794771
504.65047, 0.56787645
504.66547, 0.56780672
504.68047, 0.56773852
504.69547, 0.56767188
504.71047, 0.56760679
504.72547, 0.56754327
504.74047, 0.56748129
504.75548, 0.56742084
504.77048, 0.56736191
504.78548, 0.56730445
504.80048, 0.56724844
504.81548, 0.56719382
504.83048, 0.56714054
504.84548, 0.56708855
504.86049, 0.56703777
504.87549, 0.56698815
504.89049, 0.56693960
504.90549, 0.56689203
504.92049, 0.56684537
504.93549, 0.56679952
504.95050, 0.56675439
504.96550, 0.56670987
504.98050, 0.56666586
504.99550, 0.56662226
505.01050, 0.56657896
505.02550, 0.56653585
505.04050, 0.56649282
505.05551, 0.56644977
505.07051, 0.56640658
505.08551, 0.56636315
505.10051, 0.56631936
505.11551, 0.56627512
505.13051, 0.56623032
505.14551, 0.56618486
505.16052, 0.56613864
505.17552, 0.56609158
505.19052, 0.56604360
505.20552, 0.56599460
505.22052, 0.56594451
505.23552, 0.56589327
505.25053, 0.56584081
505.26553, 0.56578708
505.28053, 0.56573202
505.29553, 0.56567561
505.31053, 0.56561780
505.32553, 0.56555858
505.34053, 0.56549792
505.35554, 0.56543582
505.37054, 0.56537229
505.38554, 0.56530732
505.40054, 0.56524094
505.41554, 0.56517318
505.43054, 0.56510407
505.44554, 0.56503366
505.46055, 0.56496200
505.47555, 0.56488914
505.49055, 0.56481516
505.50555, 0.56474013
505.52055, 0.56466414
505.53555, 0.56458726
505.55056, 0.56450961
505.56556, 0.56443127
505.58056, 0.56435236
505.59556, 0.56427299
505.61056, 0.56419326
505.62556, 0.56411331
505.64056, 0.56403324
505.65557, 0.56395320
505.67057, 0.56387329
