wavelength [nm], relative intensity
638.35836, 0.00000755
638.57858, 0.00000110
638.79880, 0.00000013
639.01902, 0.00000001
639.23924, 0.00000000
639.45946, 0.00000000
639.67968, 0.00000000
639.89990, 0.00000000
640.12012, 0.00000000
640.34034, 0.00000000
640.56056, 0.00000000
640.78078, 0.00000000
641.00100, 0.00000000
641.22122, 0.00000001
641.44144, 0.00000013
641.66166, 0.00000121
641.88188, 0.00000912
642.10210, 0.00005643
642.32232, 0.00028760
642.54254, 0.00120768
642.76276, 0.00417947
642.98298, 0.01192684
643.20320, 0.02809488
643.42342, 0.05474157
643.64364, 0.08857109
643.86386, 0.11986573
644.08408, 0.13742042
644.30430, 0.13619442
644.52452, 0.11987246
644.74474, 0.09613005
644.96496, 0.07097841
645.18519, 0.04768321
645.40541, 0.02839430
645.62563, 0.01459321
645.84585, 0.00634685
646.06607, 0.00230738
646.28629, 0.00069633
646.50651, 0.00017379
646.72673, 0.00003580
646.94695, 0.00000608
647.16717, 0.00000085
647.38739, 0.00000010
647.60761, 0.00000001
647.82783, 0.00000000
648.04805, 0.00000000
648.26827, 0.00000000
648.48849, 0.00000000
648.70871, 0.00000000
648.92893, 0.00000000
649.14915, 0.00000000
649.36937, 0.00000000
649.58959, 0.00000000
649.80981, 0.00000000
650.03003, 0.00000005
650.25025, 0.00000048
650.47047, 0.00000377
650.69069, 0.00002416
650.91091, 0.00012752
651.13113, 0.00055452
651.35135, 0.00198693
651.57157, 0.00586886
651.79179, 0.01430240
652.01201, 0.02881005
652.23223, 0.04814957
652.45245, 0.06727069
652.67267, 0.07970346
652.89289, 0.08208847
653.11311, 0.07611232
653.33333, 0.06572696
653.55355, 0.05347167
653.77377, 0.04016099
653.99399, 0.02685387
654.21421, 0.01547470
654.43443, 0.00752291
654.65465, 0.00304872
654.87487, 0.00102364
655.09510, 0.00028390
655.31532, 0.00006494
655.53554, 0.00001224
655.75576, 0.00000190
655.97598, 0.00000024
656.19620, 0.00000003
656.41642, 0.00000000
656.63664, 0.00000000
656.85686, 0.00000000
657.07708, 0.00000000
657.29730, 0.00000000
657.51752, 0.00000000
657.73774, 0.00000000
657.95796, 0.00000000
658.17818, 0.00000000
658.39840, 0.00000000
658.61862, 0.00000003
658.83884, 0.00000036
659.05906, 0.00000335
659.27928, 0.00002598
659.49950, 0.00016580
659.71972, 0.00087166
659.93994, 0.00377450
660.16016, 0.01346251
660.38038, 0.03955070
660.60060, 0.09570937
660.82082, 0.19078869
661.04104, 0.31333282
661.26126, 0.42407579
661.48148, 0.47332136
661.70170, 0.43631003
661.92192, 0.33327839
662.14214, 0.21249000
662.36236, 0.11479751
662.58258, 0.05406802
662.80280, 0.02319812
663.02302, 0.00948683
663.24324, 0.00375180
663.46346, 0.00139304
663.68368, 0.00046287
663.90390, 0.00013242
664.12412, 0.00003188
664.34434, 0.00000638
664.56456, 0.00000106
664.78478, 0.00000014
665.00501, 0.00000002
665.22523, 0.00000000
665.44545, 0.00000000
665.66567, 0.00000000
665.88589, 0.00000000
666.10611, 0.00000000
666.32633, 0.00000000
666.54655, 0.00000000
666.76677, 0.00000000
666.98699, 0.00000000
667.20721, 0.00000000
667.42743, 0.00000000
667.64765, 0.00000005
667.86787, 0.00000053
668.08809, 0.00000482
668.30831, 0.00003593
668.52853, 0.00022064
668.74875, 0.00111606
668.96897, 0.00464987
669.18919, 0.01595683
669.40941, 0.04510294
669.62963, 0.10500642
669.84985, 0.20136348
670.07007, 0.31805478
670.29029, 0.41379518
670.51051, 0.44345110
670.73073, 0.39148770
670.95095, 0.28476616
671.17117, 0.17075166
671.39139, 0.08449920
671.61161, 0.03460715
671.83183, 0.01180809
672.05205, 0.00340753
672.27227, 0.00085816
672.49249, 0.00019897
672.71271, 0.00004508
672.93293, 0.00001017
673.15315, 0.00000220
673.37337, 0.00000043
673.59359, 0.00000007
673.81381, 0.00000001
674.03403, 0.00000000
674.25425, 0.00000000
674.47447, 0.00000000
674.69469, 0.00000000
674.91491, 0.00000000
675.13514, 0.00000000
675.35536, 0.00000000
675.57558, 0.00000000
675.79580, 0.00000000
676.01602, 0.00000000
676.23624, 0.00000000
676.45646, 0.00000000
676.67668, 0.00000000
676.89690, 0.00000001
677.11712, 0.00000014
677.33734, 0.00000115
677.55756, 0.00000800
677.77778, 0.00004589
677.99800, 0.00021670
678.21822, 0.00084294
678.43844, 0.00270088
678.65866, 0.00712899
678.87888, 0.01550474
679.09910, 0.02780232
679.31932, 0.04116907
679.53954, 0.05055170
679.75976, 0.05201669
679.97998, 0.04599506
680.20020, 0.03681602
680.42042, 0.02882284
680.64064, 0.02326441
