wavelength [nm], relative intensity
638.35836, 0.00000018
638.57858, 0.00000001
638.79880, 0.00000000
639.01902, 0.00000000
639.23924, 0.00000000
639.45946, 0.00000000
639.67968, 0.00000000
639.89990, 0.00000000
640.12012, 0.00000000
640.34034, 0.00000000
640.56056, 0.00000000
640.78078, 0.00000000
641.00100, 0.00000000
641.22122, 0.00000001
641.44144, 0.00000013
641.66166, 0.00000123
641.88188, 0.00000920
642.10210, 0.00005692
642.32232, 0.00029004
642.54254, 0.00121720
642.76276, 0.00420751
642.98298, 0.01197952
643.20320, 0.02809351
643.42342, 0.05426562
643.64364, 0.08633673
643.86386, 0.11314063
644.08408, 0.12212197
644.30430, 0.10857283
644.52452, 0.07950615
644.74474, 0.04795484
644.96496, 0.02382409
645.18519, 0.00974883
645.40541, 0.00328580
645.62563, 0.00091218
645.84585, 0.00020858
646.06607, 0.00003928
646.28629, 0.00000609
646.50651, 0.00000078
646.72673, 0.00000008
646.94695, 0.00000001
647.16717, 0.00000000
647.38739, 0.00000000
647.60761, 0.00000000
647.82783, 0.00000000
648.04805, 0.00000000
648.26827, 0.00000000
648.48849, 0.00000000
648.70871, 0.00000000
648.92893, 0.00000000
649.14915, 0.00000000
649.36937, 0.00000000
649.58959, 0.00000000
649.80981, 0.00000000
650.03003, 0.00000005
650.25025, 0.00000049
650.47047, 0.00000380
650.69069, 0.00002437
650.91091, 0.00012864
651.13113, 0.00055919
651.35135, 0.00200222
651.57157, 0.00590490
651.79179, 0.01434388
652.01201, 0.02869939
652.23223, 0.04729670
652.45245, 0.06420091
652.67267, 0.07178005
652.89289, 0.06610259
653.11311, 0.05014012
653.33333, 0.03132596
653.55355, 0.01612039
653.77377, 0.00683281
653.99399, 0.00238547
654.21421, 0.00068597
654.43443, 0.00016247
654.65465, 0.00003170
654.87487, 0.00000509
655.09510, 0.00000067
655.31532, 0.00000007
655.53554, 0.00000001
655.75576, 0.00000000
655.97598, 0.00000000
656.19620, 0.00000000
656.41642, 0.00000000
656.63664, 0.00000000
656.85686, 0.00000000
657.07708, 0.00000000
657.29730, 0.00000000
657.51752, 0.00000000
657.73774, 0.00000000
657.95796, 0.00000000
658.17818, 0.00000000
658.39840, 0.00000000
658.61862, 0.00000003
658.83884, 0.00000036
659.05906, 0.00000338
659.27928, 0.00002621
659.49950, 0.00016731
659.71972, 0.00087959
659.93994, 0.00380881
660.16016, 0.01358468
660.38038, 0.03990811
660.60060, 0.09656621
660.82082, 0.19246041
661.04104, 0.31594377
661.26126, 0.42719915
661.48148, 0.47577666
661.70170, 0.43644354
661.92192, 0.32976547
662.14214, 0.20522698
662.36236, 0.10520004
662.58258, 0.04441703
662.80280, 0.01544669
663.02302, 0.00442459
663.24324, 0.00104391
663.46346, 0.00020286
663.68368, 0.00003247
663.90390, 0.00000428
664.12412, 0.00000046
664.34434, 0.00000004
664.56456, 0.00000000
664.78478, 0.00000000
665.00501, 0.00000000
665.22523, 0.00000000
665.44545, 0.00000000
